MMP13-Substrate,MMP11,PRSS8,KLK14,MMP13,MMP1,KLK13,NAPSA,F7,KLK6,CSTD,PRSS3,MMP3,ACE2,PRSS22,MMP12
PQ13,0.020009357136684766,0.27362686215985543,0.022624729541568002,0.023220872192133635,-0.0015331614744293267,0.033237546929163225,0.008354343435732116,0.02411101224591397,0.010786000692539856,0.22092330144853856,0.32259200233061414,0.0464278673882757,-0.0005592928739816885,-0.0017754799952814442,0.02334321786395654
PQ2,0.024319436732446895,0.0030079326554737044,0.037292321355157934,0.011702406094604233,-0.00028526456621423297,0.042990206356562435,0.00639190315138044,0.001389528497192974,0.31986622631402567,0.011412301947679762,13.167649738042428,-0.000598428825976341,0.001700907441413541,-0.00016752253702957502,0.023720437632830507
PQ3,6.406007876830731e-05,-0.0015887310662239373,0.01741846394806073,4.043019555794973,0.13519856193847474,0.06393911179516232,0.03026606724992017,-0.0019201748994103728,0.07721276600764457,0.04792401345397026,-0.0005867309449920652,-0.000548609738209558,-0.0019997695909106015,-0.002205757785139488,0.35766451222431117
PQ4,0.012301784866434701,0.005254546279035105,0.062023748173991006,0.07585279096497219,0.012578445963690232,0.13221685519084614,0.5920106446174174,-0.002181019877025385,0.09554324119977764,0.510172319498521,1.20412192022361,-0.00042757007026341526,0.0013203180499822258,0.0009240727776370302,0.03151092570716221
PX11,0.2074448835525578,0.010968943770614357,0.02764992528615302,1.6419078015799755,0.42489618969781695,0.030557713444913433,0.46348821774439486,0.003790946572974012,0.04162574218008734,0.9859254153848955,0.07177372912856836,-0.002154517078169241,0.01880358594683343,0.0017612163060189423,0.5060163542657731
PX2,0.033442964999955124,0.02246845332703845,0.02391076519254503,3.938914529826434,0.024529731375742207,0.02483887919090396,0.008763767406996331,-0.002381283819418036,0.02530429672888597,0.040940540241317505,10.12938594498018,-0.002140496621893561,-0.0013287043701950847,-0.001634386105138282,0.09751638665089112
PX3,0.011654014489714749,-6.242264692510059e-05,0.04288121255054413,18.946383324027888,1.9200798331997362,0.028187148926450037,0.014990999333576309,-0.0009934182785874997,0.03419246872863265,0.22421304179155105,0.0018631039923170888,0.00748872329366428,0.015364365128509435,0.07002755655587184,1.777593435637531
PX4,0.02098485977033494,-0.002283635001809723,0.027086477912875787,15.182031057917756,0.08263724065292527,0.04183596385467528,0.0129482315525477,-0.0001971557240962006,0.03759033934616919,0.01652542820184636,0.00012720069618752435,0.03135236940107012,-2.5639701463498008e-05,0.004256665257324044,0.48681061344752835
Q1,-0.0007179741862084386,-0.0012848891941859577,0.06369055484045548,2.199138612360919,0.1300739814900358,0.0702602801307591,0.023465178681760894,-0.0019569317515976373,0.18771870284789696,0.04974946511515736,-0.0003201237958290505,0.0033823049006938694,-0.0016592943981280535,-0.001203618583011828,0.10703678810898509
Q3,-0.001920451640335324,-0.0012057128094002476,0.04884965101280711,2.808285663621632,0.011913731464434814,0.025805723180649595,0.03885559157343786,0.0002970847677077888,0.2075913985770738,0.030385364045855706,-0.0019258312323358544,-0.002041722374095452,0.002396979847289281,-0.0012115052176166932,0.0765061067761791
Q5,0.0131316110974668,0.0010496258363767268,0.022852048808134313,0.4347175385566572,0.11984129812679722,0.013276201296409473,0.13484274258252604,0.01100742297911595,0.04984716510060422,0.18010839548236424,0.0005446636881296773,-0.003028038461899183,-0.0006524051952900298,-0.001353384942491852,0.21785698224585204
Q6,0.0337759894931098,-0.0006617048963881222,0.02315816176395387,4.5962354587272785,0.46746128798052455,0.032525053119286024,0.06794529538346097,-0.0012677312401791559,0.5774572638233185,0.05337888184562392,9.466443968907562,0.0010692401690860082,-0.000224476144255972,0.006587256020703536,0.7264896454578254
Q7,0.015191520131694183,0.007045476383351706,0.033979086461482254,1.3444218902435876,0.03935712426127838,0.027693997628003224,0.057155498506183344,-0.0016655716509944149,0.18293439771228812,0.09095405862008046,10.580091740844848,-0.002845550365541985,0.006985557379124317,-0.001996712367304597,0.023840328759424483
Q9,0.01261084880319337,-0.0007768826760699617,0.036970489412129146,0.0027063647672654935,-0.0016191021199580935,0.024866707864370237,0.08353742539977414,0.0011224072075890074,0.02796307617752664,0.10956994481204574,20.38256532814819,-0.00038325716660825293,0.003901302960082925,0.0022353935974140024,0.03702387043267311
SQ14,0.0046531047549945685,0.0011075284727012935,0.04911086824827103,0.6062953302356102,0.014835174175972233,0.03916651021488182,0.006317022452501764,0.007501138102587235,0.012199561405745032,0.026510062184263432,0.8448998487692067,-0.0015915674567157367,-0.001270080711761793,-0.00023693208965148288,0.031910809230753526
